text,label
Bad experience. jacket quality is disappointing. I contacted support and it was slow.,0
Great experience with the phone case. Super excellent and the delivery was early.,1
The water bottle exceeded expectations. quality feels premium and worth the price.,1
  I  want  a  refund.  The  backpack  is  terrible  and  the  material  didn't  work  as  expected.  ,0
I love the jacket. The sound is amazing. Will definitely buy again!,1
  I  want  a  refund.  The  phone  case  is  uncomfortable  and  the  fit  didn't  work  as  expected.  ,0
The water bottle exceeded expectations. sound feels amazing and worth the price.,1
The running shoes exceeded expectations. material feels smooth and worth the price.,1
Disappointed with the headphones. The sound was disappointing and delivery was damaged.,0
VERY HAPPY WITH THE PHONE CASE. DESIGN IS FANTASTIC. SUPPORT TEAM WAS KIND.,1
The headphones arrived incomplete and the quality feels disappointing. Not happy.,0
The headphones arrived late and the quality feels poor. Not happy.,0
THE BACKPACK EXCEEDED EXPECTATIONS. COMFORT FEELS AMAZING AND WORTH THE PRICE.,1
Bad experience. running shoes quality is cheap. I contacted support and it was slow.,0
Very happy with the backpack. quality is excellent. Support team was responsive.,1
  Disappointed  with  the  running  shoes.  The  fit  was  terrible  and  delivery  was  damaged.  ,0
  The  keyboard  arrived  damaged  and  the  material  feels  poor.  Not  happy.  ,0
Disappointed with the jacket. The design was broken and delivery was damaged.,0
  I  love  the  keyboard.  The  fit  is  solid.  Will  definitely  buy  again!  ,1
The keyboard arrived damaged and the durability feels poor. Not happy.,0
Bad experience. water bottle quality is uncomfortable. I contacted support and it was ignored me.,0
Very happy with the running shoes. battery is smooth. Support team was helpful.,1
The backpack exceeded expectations. durability feels fantastic and worth the price.,1
  Disappointed  with  the  water  bottle.  The  sound  was  uncomfortable  and  delivery  was  incomplete.  ,0
Great experience with the keyboard. Super fantastic and the delivery was on time.,1
I love the phone case. The design is smooth. Will definitely buy again!,1
  Very  happy  with  the  jacket.  quality  is  solid.  Support  team  was  responsive.  ,1
Great experience with the headphones. Super solid and the delivery was early.,1
  I  want  a  refund.  The  phone  case  is  poor  and  the  sound  didn't  work  as  expected.  ,0
I love the smartwatch. The battery is premium. Will definitely buy again!,1
The phone case arrived incomplete and the comfort feels cheap. Not happy.,0
The smartwatch arrived late and the battery feels cheap. Not happy.,0
Disappointed with the phone case. The comfort was poor and delivery was damaged.,0
  The  phone  case  arrived  incomplete  and  the  sound  feels  uncomfortable.  Not  happy.  ,0
The keyboard arrived incomplete and the sound feels terrible. Not happy.,0
Great experience with the water bottle. Super comfortable and the delivery was early.,1
  I  love  the  phone  case.  The  design  is  smooth.  Will  definitely  buy  again!  ,1
I love the smartwatch. The durability is solid. Will definitely buy again!,1
The keyboard exceeded expectations. material feels excellent and worth the price.,1
The smartwatch arrived delayed and the fit feels poor. Not happy.,0
I want a refund. The backpack is terrible and the fit didn't work as expected.,0
I want a refund. The headphones is disappointing and the design didn't work as expected.,0
The phone case exceeded expectations. durability feels amazing and worth the price.,1
The water bottle arrived delayed and the durability feels disappointing. Not happy.,0
THE RUNNING SHOES ARRIVED DELAYED AND THE DESIGN FEELS UNRELIABLE. NOT HAPPY.,0
Very happy with the running shoes. design is premium. Support team was helpful.,1
DISAPPOINTED WITH THE JACKET. THE SOUND WAS BROKEN AND DELIVERY WAS INCOMPLETE.,0
  I  love  the  backpack.  The  material  is  amazing.  Will  definitely  buy  again!  ,1
The smartwatch arrived damaged and the battery feels disappointing. Not happy.,0
Disappointed with the smartwatch. The battery was uncomfortable and delivery was delayed.,0
  Great  experience  with  the  running  shoes.  Super  reliable  and  the  delivery  was  early.  ,1
Very happy with the water bottle. design is reliable. Support team was responsive.,1
The keyboard arrived incomplete and the durability feels unreliable. Not happy.,0
The running shoes exceeded expectations. fit feels amazing and worth the price.,1
  The  backpack  exceeded  expectations.  sound  feels  solid  and  worth  the  price.  ,1
Disappointed with the headphones. The fit was broken and delivery was delayed.,0
  The  backpack  exceeded  expectations.  comfort  feels  solid  and  worth  the  price.  ,1
Disappointed with the running shoes. The battery was broken and delivery was damaged.,0
  GREAT  EXPERIENCE  WITH  THE  BACKPACK.  SUPER  PREMIUM  AND  THE  DELIVERY  WAS  EARLY.  ,1
  I  love  the  backpack.  The  design  is  reliable.  Will  definitely  buy  again!  ,1
  I  want  a  refund.  The  water  bottle  is  uncomfortable  and  the  comfort  didn't  work  as  expected.  ,0
Bad experience. headphones quality is terrible. I contacted support and it was ignored me.,0
Bad experience. water bottle quality is disappointing. I contacted support and it was unhelpful.,0
  The  headphones  arrived  delayed  and  the  comfort  feels  disappointing.  Not  happy.  ,0
DISAPPOINTED WITH THE BACKPACK. THE DESIGN WAS POOR AND DELIVERY WAS DELAYED.,0
Great experience with the water bottle. Super amazing and the delivery was on time.,1
I love the running shoes. The design is comfortable. Will definitely buy again!,1
I love the water bottle. The design is amazing. Will definitely buy again!,1
Disappointed with the water bottle. The durability was poor and delivery was delayed.,0
The jacket exceeded expectations. durability feels reliable and worth the price.,1
I want a refund. The backpack is terrible and the durability didn't work as expected.,0
Bad experience. keyboard quality is poor. I contacted support and it was ignored me.,0
I want a refund. The jacket is scratchy and the durability didn't work as expected.,0
I love the smartwatch. The sound is reliable. Will definitely buy again!,1
Great experience with the running shoes. Super reliable and the delivery was on time.,1
I love the jacket. The battery is fantastic. Will definitely buy again!,1
  Disappointed  with  the  phone  case.  The  material  was  poor  and  delivery  was  late.  ,0
  The  backpack  arrived  delayed  and  the  design  feels  cheap.  Not  happy.  ,0
  Disappointed  with  the  jacket.  The  comfort  was  scratchy  and  delivery  was  late.  ,0
Disappointed with the water bottle. The fit was disappointing and delivery was late.,0
I want a refund. The headphones is scratchy and the fit didn't work as expected.,0
The phone case arrived late and the design feels unreliable. Not happy.,0
Bad experience. smartwatch quality is terrible. I contacted support and it was unhelpful.,0
Disappointed with the backpack. The battery was disappointing and delivery was incomplete.,0
  Disappointed  with  the  smartwatch.  The  comfort  was  terrible  and  delivery  was  delayed.  ,0
Bad experience. jacket quality is poor. I contacted support and it was ignored me.,0
  The  headphones  arrived  incomplete  and  the  material  feels  broken.  Not  happy.  ,0
  The  jacket  exceeded  expectations.  fit  feels  excellent  and  worth  the  price.  ,1
  I  want  a  refund.  The  running  shoes  is  poor  and  the  durability  didn't  work  as  expected.  ,0
Great experience with the running shoes. Super amazing and the delivery was quick.,1
  The  jacket  arrived  incomplete  and  the  fit  feels  scratchy.  Not  happy.  ,0
  The  smartwatch  exceeded  expectations.  durability  feels  comfortable  and  worth  the  price.  ,1
I want a refund. The keyboard is broken and the quality didn't work as expected.,0
The smartwatch arrived delayed and the durability feels disappointing. Not happy.,0
  The  running  shoes  arrived  damaged  and  the  design  feels  unreliable.  Not  happy.  ,0
BAD EXPERIENCE. JACKET QUALITY IS POOR. I CONTACTED SUPPORT AND IT WAS RUDE.,0
Great experience with the water bottle. Super comfortable and the delivery was on time.,1
Disappointed with the backpack. The comfort was terrible and delivery was damaged.,0
  I  love  the  smartwatch.  The  fit  is  excellent.  Will  definitely  buy  again!  ,1
Great experience with the backpack. Super amazing and the delivery was early.,1
  Bad  experience.  keyboard  quality  is  scratchy.  I  contacted  support  and  it  was  rude.  ,0
  The  backpack  exceeded  expectations.  material  feels  fantastic  and  worth  the  price.  ,1
Bad experience. headphones quality is unreliable. I contacted support and it was rude.,0
Very happy with the headphones. design is fantastic. Support team was helpful.,1
  I  love  the  smartwatch.  The  comfort  is  solid.  Will  definitely  buy  again!  ,1
Great experience with the running shoes. Super fantastic and the delivery was early.,1
  The  jacket  exceeded  expectations.  comfort  feels  excellent  and  worth  the  price.  ,1
Bad experience. keyboard quality is disappointing. I contacted support and it was unhelpful.,0
Disappointed with the jacket. The quality was cheap and delivery was incomplete.,0
Great experience with the smartwatch. Super amazing and the delivery was quick.,1
Great experience with the keyboard. Super excellent and the delivery was quick.,1
  Great  experience  with  the  phone  case.  Super  amazing  and  the  delivery  was  quick.  ,1
The keyboard arrived late and the durability feels uncomfortable. Not happy.,0
Disappointed with the jacket. The comfort was scratchy and delivery was incomplete.,0
Bad experience. backpack quality is poor. I contacted support and it was rude.,0
The water bottle exceeded expectations. material feels smooth and worth the price.,1
  I  want  a  refund.  The  jacket  is  poor  and  the  design  didn't  work  as  expected.  ,0
  Very  happy  with  the  keyboard.  quality  is  excellent.  Support  team  was  kind.  ,1
Very happy with the keyboard. design is reliable. Support team was responsive.,1
  The  keyboard  exceeded  expectations.  durability  feels  fantastic  and  worth  the  price.  ,1
Disappointed with the keyboard. The battery was uncomfortable and delivery was delayed.,0
Disappointed with the running shoes. The durability was poor and delivery was delayed.,0
I want a refund. The phone case is broken and the battery didn't work as expected.,0
  Disappointed  with  the  backpack.  The  fit  was  cheap  and  delivery  was  delayed.  ,0
I love the headphones. The comfort is fantastic. Will definitely buy again!,1
Great experience with the jacket. Super solid and the delivery was on time.,1
Bad experience. headphones quality is scratchy. I contacted support and it was rude.,0
  I  want  a  refund.  The  keyboard  is  terrible  and  the  fit  didn't  work  as  expected.  ,0
  Disappointed  with  the  smartwatch.  The  material  was  uncomfortable  and  delivery  was  damaged.  ,0
I want a refund. The running shoes is scratchy and the fit didn't work as expected.,0
Very happy with the keyboard. fit is reliable. Support team was helpful.,1
Great experience with the running shoes. Super smooth and the delivery was quick.,1
  The  running  shoes  arrived  damaged  and  the  durability  feels  terrible.  Not  happy.  ,0
  I  love  the  keyboard.  The  fit  is  amazing.  Will  definitely  buy  again!  ,1
  I  love  the  phone  case.  The  comfort  is  solid.  Will  definitely  buy  again!  ,1
  The  water  bottle  exceeded  expectations.  battery  feels  fantastic  and  worth  the  price.  ,1
  Disappointed  with  the  water  bottle.  The  comfort  was  disappointing  and  delivery  was  damaged.  ,0
The smartwatch exceeded expectations. comfort feels smooth and worth the price.,1
I love the smartwatch. The quality is premium. Will definitely buy again!,1
I love the backpack. The durability is reliable. Will definitely buy again!,1
  Very  happy  with  the  keyboard.  comfort  is  amazing.  Support  team  was  responsive.  ,1
  I  want  a  refund.  The  running  shoes  is  broken  and  the  design  didn't  work  as  expected.  ,0
I love the smartwatch. The fit is comfortable. Will definitely buy again!,1
Great experience with the headphones. Super comfortable and the delivery was early.,1
I want a refund. The keyboard is cheap and the fit didn't work as expected.,0
The backpack exceeded expectations. quality feels reliable and worth the price.,1
The keyboard arrived delayed and the comfort feels scratchy. Not happy.,0
Great experience with the running shoes. Super solid and the delivery was on time.,1
Very happy with the running shoes. quality is reliable. Support team was responsive.,1
  Great  experience  with  the  smartwatch.  Super  amazing  and  the  delivery  was  quick.  ,1
Great experience with the phone case. Super amazing and the delivery was quick.,1
Disappointed with the jacket. The material was disappointing and delivery was damaged.,0
Bad experience. running shoes quality is poor. I contacted support and it was slow.,0
I love the running shoes. The quality is premium. Will definitely buy again!,1
Great experience with the backpack. Super premium and the delivery was on time.,1
I love the water bottle. The sound is excellent. Will definitely buy again!,1
Bad experience. water bottle quality is broken. I contacted support and it was rude.,0
I want a refund. The running shoes is terrible and the material didn't work as expected.,0
The keyboard arrived incomplete and the design feels poor. Not happy.,0
  The  phone  case  exceeded  expectations.  comfort  feels  excellent  and  worth  the  price.  ,1
  I  want  a  refund.  The  backpack  is  terrible  and  the  sound  didn't  work  as  expected.  ,0
I want a refund. The phone case is terrible and the material didn't work as expected.,0
The keyboard arrived damaged and the sound feels uncomfortable. Not happy.,0
Bad experience. backpack quality is unreliable. I contacted support and it was unhelpful.,0
Bad experience. water bottle quality is broken. I contacted support and it was ignored me.,0
  I  want  a  refund.  The  smartwatch  is  disappointing  and  the  comfort  didn't  work  as  expected.  ,0
  I  love  the  running  shoes.  The  comfort  is  reliable.  Will  definitely  buy  again!  ,1
Great experience with the water bottle. Super premium and the delivery was quick.,1
Very happy with the keyboard. quality is premium. Support team was helpful.,1
The water bottle arrived late and the battery feels broken. Not happy.,0
Great experience with the smartwatch. Super amazing and the delivery was on time.,1
Bad experience. backpack quality is terrible. I contacted support and it was unhelpful.,0
  THE  PHONE  CASE  ARRIVED  INCOMPLETE  AND  THE  DURABILITY  FEELS  BROKEN.  NOT  HAPPY.  ,0
Disappointed with the water bottle. The comfort was scratchy and delivery was late.,0
Disappointed with the water bottle. The quality was uncomfortable and delivery was damaged.,0
Very happy with the smartwatch. comfort is solid. Support team was kind.,1
I want a refund. The water bottle is disappointing and the durability didn't work as expected.,0
  The  headphones  exceeded  expectations.  battery  feels  amazing  and  worth  the  price.  ,1
I want a refund. The headphones is poor and the design didn't work as expected.,0
I want a refund. The backpack is disappointing and the sound didn't work as expected.,0
The phone case arrived damaged and the sound feels poor. Not happy.,0
I love the water bottle. The durability is reliable. Will definitely buy again!,1
  Disappointed  with  the  keyboard.  The  comfort  was  unreliable  and  delivery  was  damaged.  ,0
THE HEADPHONES ARRIVED INCOMPLETE AND THE DESIGN FEELS BROKEN. NOT HAPPY.,0
  Disappointed  with  the  backpack.  The  sound  was  unreliable  and  delivery  was  incomplete.  ,0
  Great  experience  with  the  backpack.  Super  comfortable  and  the  delivery  was  early.  ,1
Great experience with the phone case. Super solid and the delivery was on time.,1
I love the running shoes. The comfort is comfortable. Will definitely buy again!,1
I want a refund. The headphones is cheap and the design didn't work as expected.,0
  Very  happy  with  the  smartwatch.  fit  is  premium.  Support  team  was  helpful.  ,1
Great experience with the keyboard. Super solid and the delivery was on time.,1
I want a refund. The running shoes is disappointing and the comfort didn't work as expected.,0
  Disappointed  with  the  running  shoes.  The  quality  was  poor  and  delivery  was  late.  ,0
The running shoes arrived delayed and the material feels uncomfortable. Not happy.,0
I want a refund. The running shoes is unreliable and the sound didn't work as expected.,0
Great experience with the phone case. Super excellent and the delivery was early.,1
  VERY  HAPPY  WITH  THE  RUNNING  SHOES.  DURABILITY  IS  FANTASTIC.  SUPPORT  TEAM  WAS  RESPONSIVE.  ,1
I love the keyboard. The design is excellent. Will definitely buy again!,1
  Great  experience  with  the  water  bottle.  Super  premium  and  the  delivery  was  early.  ,1
The water bottle exceeded expectations. quality feels premium and worth the price.,1
The backpack arrived delayed and the comfort feels poor. Not happy.,0
  Bad  experience.  phone  case  quality  is  disappointing.  I  contacted  support  and  it  was  unhelpful.  ,0
  I  want  a  refund.  The  jacket  is  cheap  and  the  design  didn't  work  as  expected.  ,0
Disappointed with the running shoes. The sound was terrible and delivery was incomplete.,0
I love the running shoes. The durability is solid. Will definitely buy again!,1
  Disappointed  with  the  jacket.  The  fit  was  poor  and  delivery  was  delayed.  ,0
Great experience with the smartwatch. Super smooth and the delivery was on time.,1
I want a refund. The jacket is uncomfortable and the material didn't work as expected.,0
  Disappointed  with  the  smartwatch.  The  quality  was  uncomfortable  and  delivery  was  incomplete.  ,0
Disappointed with the jacket. The design was poor and delivery was delayed.,0
The keyboard exceeded expectations. battery feels smooth and worth the price.,1
The jacket arrived incomplete and the fit feels scratchy. Not happy.,0
The jacket exceeded expectations. sound feels reliable and worth the price.,1
GREAT EXPERIENCE WITH THE WATER BOTTLE. SUPER EXCELLENT AND THE DELIVERY WAS EARLY.,1
  Great  experience  with  the  running  shoes.  Super  excellent  and  the  delivery  was  quick.  ,1
Bad experience. running shoes quality is scratchy. I contacted support and it was ignored me.,0
Great experience with the running shoes. Super premium and the delivery was quick.,1
I want a refund. The jacket is terrible and the comfort didn't work as expected.,0
  Disappointed  with  the  keyboard.  The  battery  was  terrible  and  delivery  was  late.  ,0
I love the headphones. The quality is amazing. Will definitely buy again!,1
  Disappointed  with  the  keyboard.  The  quality  was  uncomfortable  and  delivery  was  late.  ,0
Bad experience. headphones quality is poor. I contacted support and it was slow.,0
The phone case arrived late and the quality feels terrible. Not happy.,0
  Bad  experience.  jacket  quality  is  uncomfortable.  I  contacted  support  and  it  was  ignored  me.  ,0
VERY HAPPY WITH THE KEYBOARD. QUALITY IS EXCELLENT. SUPPORT TEAM WAS KIND.,1
I want a refund. The phone case is poor and the durability didn't work as expected.,0
The smartwatch arrived delayed and the durability feels disappointing. Not happy.,0
  Disappointed  with  the  headphones.  The  design  was  unreliable  and  delivery  was  late.  ,0
Great experience with the headphones. Super solid and the delivery was quick.,1
Great experience with the headphones. Super premium and the delivery was quick.,1
Very happy with the smartwatch. fit is fantastic. Support team was helpful.,1
The water bottle arrived delayed and the material feels uncomfortable. Not happy.,0
  The  backpack  exceeded  expectations.  comfort  feels  fantastic  and  worth  the  price.  ,1
Very happy with the water bottle. sound is fantastic. Support team was helpful.,1
The running shoes exceeded expectations. material feels amazing and worth the price.,1
  Disappointed  with  the  backpack.  The  fit  was  unreliable  and  delivery  was  delayed.  ,0
  Very  happy  with  the  running  shoes.  battery  is  smooth.  Support  team  was  helpful.  ,1
  The  running  shoes  arrived  damaged  and  the  durability  feels  cheap.  Not  happy.  ,0
I love the keyboard. The battery is solid. Will definitely buy again!,1
Bad experience. jacket quality is scratchy. I contacted support and it was slow.,0
  I  love  the  running  shoes.  The  fit  is  solid.  Will  definitely  buy  again!  ,1
I want a refund. The headphones is unreliable and the sound didn't work as expected.,0
  DISAPPOINTED  WITH  THE  SMARTWATCH.  THE  QUALITY  WAS  SCRATCHY  AND  DELIVERY  WAS  DELAYED.  ,0
Great experience with the headphones. Super reliable and the delivery was on time.,1
Great experience with the headphones. Super solid and the delivery was quick.,1
I love the headphones. The battery is comfortable. Will definitely buy again!,1
I love the headphones. The fit is comfortable. Will definitely buy again!,1
  I  love  the  water  bottle.  The  sound  is  solid.  Will  definitely  buy  again!  ,1
Bad experience. water bottle quality is cheap. I contacted support and it was unhelpful.,0
The phone case exceeded expectations. fit feels comfortable and worth the price.,1
I want a refund. The jacket is cheap and the design didn't work as expected.,0
Very happy with the backpack. fit is comfortable. Support team was helpful.,1
Disappointed with the water bottle. The quality was poor and delivery was delayed.,0
The running shoes exceeded expectations. durability feels fantastic and worth the price.,1
The running shoes exceeded expectations. sound feels amazing and worth the price.,1
I love the running shoes. The comfort is fantastic. Will definitely buy again!,1
Bad experience. backpack quality is unreliable. I contacted support and it was ignored me.,0
I LOVE THE KEYBOARD. THE COMFORT IS AMAZING. WILL DEFINITELY BUY AGAIN!,1
Bad experience. water bottle quality is cheap. I contacted support and it was unhelpful.,0
Great experience with the headphones. Super excellent and the delivery was early.,1
The smartwatch arrived late and the material feels broken. Not happy.,0
Bad experience. running shoes quality is broken. I contacted support and it was slow.,0
I want a refund. The running shoes is scratchy and the quality didn't work as expected.,0
Bad experience. jacket quality is scratchy. I contacted support and it was rude.,0
Very happy with the headphones. fit is fantastic. Support team was kind.,1
Bad experience. keyboard quality is terrible. I contacted support and it was rude.,0
  I  want  a  refund.  The  keyboard  is  broken  and  the  sound  didn't  work  as  expected.  ,0
I love the keyboard. The fit is premium. Will definitely buy again!,1
  THE  HEADPHONES  ARRIVED  DAMAGED  AND  THE  QUALITY  FEELS  CHEAP.  NOT  HAPPY.  ,0
Disappointed with the smartwatch. The durability was disappointing and delivery was delayed.,0
Disappointed with the keyboard. The battery was terrible and delivery was delayed.,0
THE SMARTWATCH EXCEEDED EXPECTATIONS. FIT FEELS COMFORTABLE AND WORTH THE PRICE.,1
  I  want  a  refund.  The  smartwatch  is  disappointing  and  the  material  didn't  work  as  expected.  ,0
  The  backpack  arrived  damaged  and  the  comfort  feels  disappointing.  Not  happy.  ,0
Great experience with the headphones. Super reliable and the delivery was on time.,1
  I  love  the  headphones.  The  quality  is  fantastic.  Will  definitely  buy  again!  ,1
Bad experience. jacket quality is uncomfortable. I contacted support and it was unhelpful.,0
  The  headphones  arrived  late  and  the  quality  feels  cheap.  Not  happy.  ,0
Disappointed with the jacket. The design was cheap and delivery was late.,0
  Great  experience  with  the  water  bottle.  Super  reliable  and  the  delivery  was  on  time.  ,1
The keyboard arrived delayed and the sound feels unreliable. Not happy.,0
I love the water bottle. The fit is fantastic. Will definitely buy again!,1
  Very  happy  with  the  smartwatch.  durability  is  fantastic.  Support  team  was  helpful.  ,1
  Bad  experience.  backpack  quality  is  unreliable.  I  contacted  support  and  it  was  unhelpful.  ,0
Very happy with the jacket. sound is smooth. Support team was helpful.,1
  GREAT  EXPERIENCE  WITH  THE  SMARTWATCH.  SUPER  EXCELLENT  AND  THE  DELIVERY  WAS  QUICK.  ,1
Great experience with the water bottle. Super amazing and the delivery was quick.,1
  Bad  experience.  backpack  quality  is  uncomfortable.  I  contacted  support  and  it  was  slow.  ,0
The keyboard exceeded expectations. battery feels premium and worth the price.,1
THE SMARTWATCH ARRIVED DELAYED AND THE DESIGN FEELS BROKEN. NOT HAPPY.,0
I want a refund. The headphones is unreliable and the quality didn't work as expected.,0
The smartwatch exceeded expectations. design feels reliable and worth the price.,1
  Bad  experience.  phone  case  quality  is  unreliable.  I  contacted  support  and  it  was  slow.  ,0
Bad experience. keyboard quality is unreliable. I contacted support and it was rude.,0
I love the phone case. The battery is premium. Will definitely buy again!,1
  The  phone  case  arrived  delayed  and  the  fit  feels  cheap.  Not  happy.  ,0
The water bottle arrived late and the durability feels scratchy. Not happy.,0
Bad experience. headphones quality is cheap. I contacted support and it was rude.,0
Bad experience. jacket quality is terrible. I contacted support and it was slow.,0
I love the jacket. The sound is comfortable. Will definitely buy again!,1
I love the running shoes. The battery is comfortable. Will definitely buy again!,1
  The  keyboard  arrived  damaged  and  the  fit  feels  disappointing.  Not  happy.  ,0
Disappointed with the water bottle. The comfort was terrible and delivery was incomplete.,0
The phone case arrived late and the comfort feels scratchy. Not happy.,0
Very happy with the backpack. quality is excellent. Support team was helpful.,1
I want a refund. The headphones is uncomfortable and the comfort didn't work as expected.,0
The smartwatch arrived delayed and the durability feels broken. Not happy.,0
Very happy with the headphones. design is fantastic. Support team was helpful.,1
Great experience with the smartwatch. Super fantastic and the delivery was early.,1
Very happy with the keyboard. battery is reliable. Support team was responsive.,1
Disappointed with the running shoes. The design was disappointing and delivery was damaged.,0
  Very  happy  with  the  headphones.  sound  is  fantastic.  Support  team  was  helpful.  ,1
Great experience with the running shoes. Super solid and the delivery was early.,1
Bad experience. keyboard quality is poor. I contacted support and it was rude.,0
Disappointed with the phone case. The fit was terrible and delivery was late.,0
  The  smartwatch  exceeded  expectations.  battery  feels  amazing  and  worth  the  price.  ,1
Great experience with the jacket. Super smooth and the delivery was quick.,1
Very happy with the headphones. fit is comfortable. Support team was helpful.,1
Very happy with the backpack. design is excellent. Support team was helpful.,1
The jacket exceeded expectations. design feels fantastic and worth the price.,1
  I  love  the  running  shoes.  The  material  is  smooth.  Will  definitely  buy  again!  ,1
Disappointed with the water bottle. The comfort was uncomfortable and delivery was delayed.,0
Very happy with the water bottle. design is smooth. Support team was responsive.,1
  THE  WATER  BOTTLE  EXCEEDED  EXPECTATIONS.  MATERIAL  FEELS  SOLID  AND  WORTH  THE  PRICE.  ,1
The headphones exceeded expectations. durability feels comfortable and worth the price.,1
  I  want  a  refund.  The  jacket  is  disappointing  and  the  material  didn't  work  as  expected.  ,0
I want a refund. The water bottle is terrible and the fit didn't work as expected.,0
