customer_id,age,income_band,city_tier,membership_type,num_visits,days_since_last_purchase,product_categories_purchased,num_transactions,avg_transaction_value,discount_used,total_spend,target
C100052,37.0,Mid,Tier 1,Gold,23.0,218.0,7.0,6.0,390.83,309.77,2129.05,2487.91
C100053,42.0,High,Tier 1,Silver,18.0,49.0,8.0,6.0,522.34,230.19,3002.35,2904.56
C100054,44.0,Low,Tier 2,Platinum,29.0,213.0,8.0,7.0,,371.32,2127.84,2173.06
C100055,20.0,Mid,Tier 3,Silver,20.0,73.0,6.0,2.0,387.41,302.39,292.95,1299.8
C100056,46.0,Low,Tier 1,Silver,15.0,321.0,5.0,6.0,295.7,196.47,1711.66,1159.47
C100057,26.0,Low,Tier 2,Silver,19.0,108.0,4.0,2.0,333.73,213.66,490.76,882.4
C100058,57.0,Mid,Tier 3,Gold,14.0,111.0,6.0,3.0,524.29,225.34,,1927.78
C100059,54.0,Low,Tier 3,Silver,19.0,147.0,2.0,5.0,374.35,206.46,1754.01,1167.26
C100060,66.0,Mid,Tier 3,Silver,18.0,131.0,4.0,2.0,229.16,254.42,256.86,884.03
C100061,57.0,Mid,Tier 1,Silver,15.0,216.0,1.0,2.0,308.15,202.87,449.36,257.91
C100062,37.0,Mid,Tier 1,Gold,20.0,264.0,2.0,1.0,408.64,276.62,25.7,0.0
C100063,69.0,Mid,Tier 2,Platinum,16.0,352.0,4.0,4.0,650.79,202.42,,1639.78
C100064,39.0,Mid,Tier 1,Silver,17.0,325.0,6.0,4.0,462.65,234.01,1486.67,1349.49
C100065,35.0,Mid,Tier 3,Silver,15.0,95.0,6.0,1.0,369.36,,0.0,648.23
C100066,65.0,Low,Tier 1,Silver,17.0,221.0,2.0,3.0,345.79,219.98,,706.98
C100067,37.0,Low,Tier 2,Silver,19.0,120.0,3.0,1.0,229.74,245.83,40.66,599.76
C100068,22.0,Mid,Tier 3,Platinum,20.0,294.0,4.0,7.0,511.17,217.16,3487.48,2502.04
C100069,42.0,High,Tier 3,Silver,18.0,8.0,4.0,1.0,452.12,282.63,,762.96
C100070,60.0,Low,Tier 2,Gold,22.0,364.0,,5.0,337.15,266.96,1398.35,1558.28
C100071,28.0,Mid,Tier 3,Platinum,24.0,136.0,7.0,4.0,452.22,352.19,1387.76,1790.11
C100072,42.0,Mid,Tier 1,Gold,21.0,272.0,9.0,2.0,631.9,274.39,1008.65,2008.4
C100073,24.0,High,Tier 2,Silver,27.0,247.0,5.0,7.0,376.48,310.65,2152.83,1871.19
C100074,54.0,Mid,Tier 1,Gold,18.0,134.0,5.0,6.0,469.65,216.65,2530.11,2186.53
C100075,43.0,Mid,Tier 3,Silver,20.0,352.0,4.0,4.0,431.93,290.1,1334.03,999.55
C100076,35.0,Mid,Tier 3,Silver,16.0,97.0,2.0,2.0,389.36,241.99,605.72,535.42
C100077,30.0,High,Tier 1,Platinum,23.0,270.0,5.0,9.0,767.83,222.23,6476.1,4608.97
C100078,,Low,Tier 1,Silver,19.0,339.0,2.0,2.0,126.54,244.76,46.17,66.32
C100079,53.0,High,Tier 2,Silver,17.0,43.0,5.0,5.0,390.1,221.76,1832.77,1958.3
C100080,67.0,Low,Tier 1,Silver,22.0,335.0,6.0,4.0,311.41,231.38,833.53,1262.85
C100081,,High,Tier 3,Silver,15.0,325.0,3.0,4.0,430.13,193.79,,1005.2
C100082,26.0,Low,Tier 1,Gold,24.0,139.0,3.0,5.0,374.68,316.36,1449.38,1722.12
C100083,62.0,Low,Tier 3,Gold,19.0,306.0,9.0,9.0,341.35,244.22,3015.3,2836.43
C100084,51.0,Low,Tier 2,Gold,24.0,2.0,5.0,7.0,330.28,325.23,2147.26,1904.93
C100085,55.0,Mid,Tier 2,Silver,29.0,69.0,7.0,8.0,426.3,324.72,3194.1,2922.95
C100086,23.0,Low,Tier 1,Silver,20.0,275.0,3.0,2.0,362.48,264.32,507.86,1185.72
C100087,34.0,Low,Tier 3,Silver,19.0,341.0,5.0,3.0,63.59,244.69,50.91,586.12
C100088,58.0,Mid,Tier 2,Silver,15.0,46.0,4.0,3.0,357.05,200.71,940.83,1199.7
C100089,62.0,Mid,Tier 2,Gold,22.0,261.0,3.0,6.0,420.33,269.7,2443.31,2074.05
C100090,41.0,Mid,Tier 2,Gold,22.0,37.0,3.0,,459.43,270.05,2491.51,2436.89
C100091,60.0,High,Tier 3,Platinum,16.0,286.0,7.0,6.0,661.11,199.42,3470.64,2696.83
C100092,62.0,Mid,Tier 3,Gold,18.0,328.0,5.0,3.0,264.82,258.98,476.33,901.93
C100093,,Low,Tier 3,Silver,23.0,168.0,4.0,1.0,272.9,307.73,30.57,717.24
C100094,65.0,Low,Tier 2,Gold,13.0,36.0,4.0,2.0,383.72,133.87,594.46,825.75
C100095,33.0,High,Tier 3,Gold,18.0,73.0,6.0,7.0,383.92,298.76,2531.56,2404.19
C100096,30.0,Low,Tier 1,Platinum,14.0,185.0,6.0,3.0,621.21,239.57,1523.67,1796.94
C100097,54.0,Mid,Tier 2,Silver,18.0,292.0,6.0,3.0,425.16,,1186.67,1324.33
C100098,51.0,High,Tier 2,Gold,26.0,,3.0,6.0,518.72,322.61,2614.09,2504.36
C100099,25.0,High,Tier 2,Silver,19.0,174.0,4.0,4.0,384.6,251.59,1327.11,1493.52
C100100,62.0,Mid,Tier 3,Gold,18.0,219.0,4.0,4.0,409.92,240.29,1302.18,1420.56
C100101,28.0,Mid,Tier 3,Platinum,28.0,354.0,4.0,10.0,514.34,376.66,4606.28,3275.76
C100102,60.0,Mid,Tier 2,Platinum,18.0,288.0,4.0,2.0,609.59,216.01,996.19,1318.86
C100103,18.0,Mid,Tier 2,Silver,17.0,56.0,5.0,7.0,389.32,204.43,,2105.41
C100104,60.0,Low,Tier 3,Silver,15.0,71.0,6.0,6.0,283.17,,1651.24,1532.77
C100105,59.0,Low,Tier 3,,21.0,130.0,1.0,6.0,206.44,310.06,885.35,700.85
C100106,59.0,Mid,Tier 3,Gold,27.0,99.0,3.0,8.0,382.53,412.95,2658.53,2330.25
C100107,53.0,Low,Tier 1,Platinum,13.0,269.0,4.0,3.0,510.47,168.3,1356.62,1544.07
C100108,42.0,Mid,Tier 2,Silver,18.0,363.0,3.0,3.0,331.06,209.48,851.35,655.21
C100109,55.0,Mid,Tier 3,Gold,16.0,,4.0,9.0,445.5,186.78,3739.33,2840.08
C100110,32.0,High,Tier 3,Gold,26.0,325.0,6.0,10.0,617.73,388.16,5923.5,4245.03
C100111,59.0,High,Tier 2,Silver,21.0,158.0,5.0,6.0,,232.66,2449.78,2357.48
C100112,47.0,Mid,Tier 2,Silver,23.0,251.0,2.0,3.0,347.19,268.08,640.54,513.43
C100113,42.0,Mid,Tier 2,Gold,20.0,256.0,4.0,4.0,395.19,240.17,1531.91,1267.71
C100114,44.0,Low,Tier 2,Silver,11.0,107.0,4.0,3.0,228.54,152.09,467.39,1136.35
C100115,48.0,Mid,Tier 3,Gold,19.0,268.0,9.0,7.0,262.31,304.77,1470.79,1696.07
C100116,19.0,Low,Tier 1,Gold,18.0,195.0,7.0,5.0,410.4,221.21,1932.34,2162.21
C100117,25.0,High,Tier 2,Silver,24.0,211.0,5.0,3.0,701.8,288.8,1683.9,2004.72
C100118,31.0,High,Tier 2,Silver,25.0,92.0,5.0,5.0,505.94,319.17,2282.41,2276.76
C100119,,,Tier 3,Platinum,16.0,116.0,7.0,4.0,863.52,204.06,3316.15,3239.27
C100120,41.0,High,Tier 2,Gold,21.0,313.0,6.0,5.0,693.92,234.87,3226.02,2847.29
C100121,53.0,High,Tier 2,Gold,27.0,226.0,5.0,9.0,530.43,360.49,4400.08,3487.29
C100122,52.0,Low,Tier 1,Gold,20.0,47.0,6.0,3.0,411.28,276.65,892.91,1674.77
C100123,42.0,High,Tier 1,Gold,18.0,199.0,3.0,7.0,742.05,171.88,5109.25,3149.63
C100124,63.0,Mid,Tier 2,Platinum,15.0,226.0,6.0,8.0,618.65,167.52,4735.1,3231.88
C100125,47.0,Mid,Tier 1,Gold,19.0,291.0,1.0,4.0,445.44,251.17,1664.09,1092.84
C100126,22.0,Mid,Tier 3,Silver,24.0,,7.0,1.0,331.86,357.02,112.16,636.98
C100127,58.0,,Tier 3,Silver,20.0,239.0,5.0,2.0,370.03,283.53,,949.1
C100128,48.0,Low,Tier 1,Silver,18.0,4.0,5.0,2.0,177.52,185.7,10.6,1365.34
C100129,51.0,Low,Tier 3,Gold,21.0,181.0,6.0,3.0,378.04,287.07,824.71,1441.39
C100130,47.0,Low,Tier 2,Silver,18.0,75.0,5.0,3.0,357.0,194.9,763.22,1325.04
C100131,47.0,Mid,Tier 2,Gold,,6.0,5.0,4.0,300.4,274.04,844.89,1288.29
C100132,22.0,High,Tier 3,Platinum,15.0,338.0,9.0,8.0,630.15,193.26,4749.93,3709.49
C100133,47.0,Mid,Tier 2,Silver,19.0,61.0,6.0,4.0,327.87,231.21,1311.46,1725.2
C100134,60.0,Mid,Tier 1,Silver,,89.0,4.0,2.0,472.58,262.47,820.1,1162.11
C100135,34.0,Mid,Tier 1,Gold,19.0,123.0,9.0,4.0,503.72,225.28,1688.49,2372.94
C100136,49.0,Mid,Tier 2,Silver,21.0,170.0,7.0,5.0,305.93,250.99,1047.15,1477.19
C100137,19.0,Low,Tier 3,Gold,19.0,,4.0,1.0,301.65,235.28,0.0,681.17
C100138,36.0,High,Tier 2,Silver,11.0,113.0,4.0,1.0,,122.3,231.03,761.8
C100139,41.0,Low,Tier 2,Silver,23.0,290.0,3.0,7.0,249.61,267.9,1564.37,1553.97
C100140,70.0,Mid,Tier 1,Gold,22.0,,7.0,3.0,633.17,248.89,1657.75,2188.31
C100141,29.0,Mid,Tier 3,Silver,26.0,351.0,3.0,2.0,317.72,416.07,150.2,397.39
C100142,32.0,Mid,Tier 2,Silver,12.0,313.0,2.0,2.0,409.28,191.98,616.28,407.87
C100143,39.0,High,Tier 2,Silver,19.0,219.0,5.0,5.0,387.89,252.63,1548.24,1625.52
C100144,,Low,Tier 2,Silver,15.0,17.0,6.0,2.0,291.55,217.83,337.19,988.46
C100145,63.0,High,Tier 1,Platinum,22.0,266.0,4.0,6.0,828.85,248.22,4920.62,3303.71
C100146,19.0,,Tier 1,Silver,,257.0,3.0,2.0,362.07,258.7,382.99,693.46
C100147,30.0,Mid,Tier 2,Silver,12.0,227.0,4.0,4.0,,122.49,1782.64,1044.76
C100148,61.0,Mid,Tier 2,Silver,26.0,102.0,7.0,4.0,297.32,314.87,780.35,1594.74
C100149,21.0,High,Tier 2,Silver,16.0,157.0,2.0,3.0,431.43,169.75,1028.49,830.75
C100150,63.0,High,Tier 3,Silver,21.0,151.0,4.0,4.0,286.93,270.61,976.51,1326.12
C100151,32.0,Mid,Tier 1,Gold,17.0,223.0,3.0,1.0,432.32,135.71,147.91,419.72
C100152,66.0,High,Tier 2,Silver,12.0,121.0,2.0,3.0,336.74,155.43,832.76,693.74
C100153,33.0,Mid,,Gold,14.0,146.0,6.0,5.0,597.4,197.49,2684.04,2361.67
C100154,41.0,Mid,Tier 1,Silver,18.0,332.0,7.0,1.0,431.94,242.73,354.01,846.69
C100155,53.0,High,Tier 3,Silver,19.0,166.0,5.0,4.0,489.73,296.64,1579.11,1437.68
C100156,24.0,Mid,Tier 3,Silver,17.0,217.0,7.0,1.0,352.19,269.46,0.0,774.59
C100157,47.0,Mid,Tier 3,Gold,23.0,333.0,3.0,7.0,317.0,321.93,1877.66,1127.17
C100158,44.0,Low,Tier 1,Platinum,24.0,345.0,5.0,9.0,548.35,248.49,4667.69,3178.98
C100159,59.0,Low,Tier 2,Silver,14.0,206.0,9.0,3.0,247.08,141.08,731.5,1602.53
C100160,70.0,High,Tier 2,Platinum,30.0,97.0,5.0,7.0,802.42,352.37,5198.72,3766.39
C100161,53.0,Mid,Tier 3,Silver,28.0,36.0,3.0,4.0,,338.06,98.63,677.24
C100162,39.0,Mid,Tier 2,Gold,23.0,314.0,2.0,3.0,342.0,290.08,615.71,666.02
C100163,39.0,Low,Tier 3,Gold,19.0,191.0,2.0,1.0,238.92,286.1,83.16,620.44
C100164,40.0,Mid,Tier 1,Silver,31.0,207.0,4.0,11.0,426.98,385.31,4417.33,2995.96
C100165,61.0,High,Tier 2,Silver,23.0,348.0,2.0,4.0,346.5,298.81,1153.68,764.3
C100166,35.0,High,Tier 3,Silver,21.0,135.0,8.0,4.0,607.16,248.27,2280.33,2676.57
C100167,26.0,Low,Tier 2,Gold,22.0,36.0,4.0,4.0,429.14,244.18,1503.34,1775.87
C100168,35.0,Mid,Tier 2,Silver,19.0,246.0,6.0,4.0,454.13,199.03,1631.14,1792.12
C100169,19.0,Mid,Tier 2,Platinum,19.0,355.0,4.0,7.0,674.98,213.71,4373.28,2782.31
C100170,23.0,Mid,Tier 3,Silver,20.0,62.0,4.0,6.0,358.59,266.72,1804.2,1640.09
C100171,22.0,Mid,Tier 1,Platinum,27.0,361.0,3.0,1.0,553.74,,385.07,981.29
C100172,58.0,Mid,Tier 3,Silver,30.0,198.0,3.0,9.0,351.68,452.72,2809.09,2276.11
C100173,56.0,Mid,Tier 2,Gold,17.0,205.0,6.0,3.0,398.11,237.62,1063.28,1566.53
C100174,54.0,Mid,Tier 2,Silver,21.0,351.0,9.0,5.0,331.45,233.61,1371.98,1929.94
C100175,42.0,Mid,Tier 2,Silver,18.0,121.0,4.0,4.0,418.43,200.19,1674.84,1735.62
C100176,56.0,Mid,Tier 1,Silver,,,6.0,1.0,357.44,201.03,135.82,678.23
C100177,26.0,High,Tier 3,Gold,13.0,,3.0,3.0,482.31,184.96,1317.05,1205.04
C100178,,Mid,Tier 3,Silver,18.0,245.0,6.0,1.0,391.88,275.98,449.18,879.8
C100179,44.0,Low,Tier 3,Gold,19.0,5.0,3.0,9.0,229.8,243.14,1763.44,1677.11
C100180,67.0,High,Tier 3,Platinum,17.0,1.0,4.0,5.0,655.65,263.08,3101.41,2241.08
C100181,26.0,High,Tier 2,Silver,12.0,142.0,4.0,3.0,465.77,153.84,1062.01,1199.2
C100182,44.0,Low,Tier 2,Silver,23.0,136.0,6.0,2.0,308.97,264.71,308.74,1301.76
C100183,54.0,Mid,Tier 3,Silver,,286.0,6.0,2.0,373.51,272.17,546.27,1049.28
C100184,44.0,Low,Tier 1,Silver,18.0,326.0,8.0,2.0,248.72,162.83,260.4,928.44
C100185,41.0,Mid,Tier 3,Silver,18.0,344.0,6.0,2.0,181.15,250.88,116.03,725.81
C100186,26.0,Low,Tier 2,Gold,26.0,228.0,9.0,7.0,430.49,312.71,2727.85,2565.86
C100187,38.0,Mid,Tier 2,Silver,16.0,56.0,3.0,2.0,169.96,181.53,177.65,354.58
C100188,30.0,Low,Tier 2,Silver,23.0,245.0,4.0,3.0,295.0,254.64,365.73,1114.76
C100189,33.0,Mid,Tier 2,,16.0,178.0,6.0,2.0,433.72,226.53,910.02,1022.04
C100190,54.0,High,Tier 1,Silver,26.0,193.0,3.0,9.0,564.31,343.05,4602.63,3280.96
C100191,51.0,Mid,Tier 2,Gold,25.0,183.0,7.0,4.0,462.19,301.02,1451.14,2212.43
C100192,50.0,High,Tier 2,Platinum,26.0,323.0,10.0,3.0,736.98,321.05,1695.08,2379.05
C100193,37.0,High,Tier 1,Silver,21.0,139.0,7.0,4.0,536.69,206.63,1816.64,2038.77
C100194,68.0,,Tier 1,Silver,21.0,352.0,4.0,2.0,570.04,223.94,907.63,977.19
C100195,22.0,Low,Tier 2,Gold,21.0,197.0,4.0,8.0,349.48,240.37,2673.53,1798.26
C100196,36.0,High,Tier 2,Gold,14.0,251.0,5.0,2.0,368.21,141.5,517.62,818.13
C100197,,Low,Tier 3,Gold,21.0,338.0,6.0,6.0,289.8,332.55,1418.26,1829.02
C100198,35.0,Mid,Tier 1,Gold,,298.0,1.0,9.0,567.12,272.4,4865.77,2990.42
C100199,68.0,High,Tier 2,Silver,24.0,160.0,4.0,2.0,414.73,257.8,431.81,930.81
C100200,37.0,Mid,Tier 1,Silver,26.0,74.0,4.0,4.0,439.51,,1168.09,1512.05
C100201,66.0,Mid,Tier 2,Gold,12.0,50.0,8.0,1.0,519.18,190.11,208.36,1190.58
C100202,44.0,Mid,,Gold,18.0,133.0,3.0,3.0,444.97,234.34,1254.94,1082.64
C100203,55.0,High,Tier 2,Gold,11.0,243.0,4.0,2.0,600.54,83.45,1015.14,1208.85
C100204,42.0,Mid,,Silver,26.0,292.0,5.0,8.0,,348.9,,1375.33
C100205,32.0,Mid,Tier 2,Gold,21.0,11.0,7.0,4.0,430.05,287.99,1465.84,2496.44
C100206,58.0,,Tier 1,Silver,15.0,169.0,3.0,3.0,,136.72,1681.3,1299.71
C100207,69.0,Low,Tier 2,Silver,20.0,344.0,7.0,3.0,227.54,183.37,353.69,1057.97
C100208,31.0,Low,Tier 2,Silver,20.0,300.0,3.0,3.0,231.62,226.17,548.61,971.35
C100209,59.0,Mid,Tier 2,Silver,18.0,343.0,10.0,4.0,391.53,225.07,1391.18,1973.2
C100210,31.0,High,Tier 2,Gold,19.0,350.0,4.0,6.0,619.09,,3372.4,2108.85
C100211,55.0,Low,Tier 3,Silver,25.0,33.0,7.0,5.0,273.54,303.49,830.29,1596.08
C100212,59.0,Low,Tier 2,Gold,20.0,249.0,4.0,6.0,202.55,285.31,1016.02,886.87
C100213,41.0,Low,Tier 1,Silver,25.0,201.0,4.0,4.0,335.7,258.15,1117.21,1269.35
C100214,57.0,High,Tier 1,Silver,12.0,174.0,10.0,3.0,415.23,165.68,1092.17,1622.89
C100215,32.0,Low,Tier 1,Silver,21.0,291.0,,4.0,280.36,251.26,693.88,1216.59
C100216,22.0,Mid,Tier 2,Silver,27.0,342.0,5.0,3.0,505.12,355.39,1422.46,1715.91
C100217,23.0,High,Tier 3,Gold,13.0,170.0,5.0,3.0,576.91,198.47,1400.47,1797.74
C100218,41.0,Low,Tier 3,Silver,12.0,237.0,2.0,1.0,262.38,170.83,,0.0
C100219,65.0,Mid,Tier 2,Silver,24.0,175.0,9.0,2.0,283.06,305.03,367.47,1184.99
C100220,24.0,Mid,Tier 1,Silver,22.0,232.0,9.0,3.0,525.89,244.22,1334.9,1948.49
C100221,42.0,High,Tier 3,Silver,24.0,355.0,7.0,3.0,450.1,341.98,1022.05,1380.41
C100222,55.0,Mid,Tier 1,Silver,22.0,296.0,3.0,6.0,216.92,230.35,917.1,667.05
C100223,28.0,Mid,Tier 2,Platinum,14.0,84.0,7.0,6.0,505.62,186.3,2684.2,2579.94
C100224,56.0,Low,Tier 3,Silver,27.0,317.0,5.0,6.0,258.15,424.11,1161.72,1344.83
C100225,34.0,Mid,Tier 2,Silver,17.0,192.0,5.0,5.0,331.96,215.32,1386.6,1376.09
C100226,60.0,Mid,Tier 1,Platinum,18.0,213.0,6.0,2.0,730.62,221.48,1459.29,1973.13
C100227,48.0,Low,Tier 1,Gold,18.0,42.0,,7.0,287.04,208.51,1651.91,2055.36
C100228,46.0,Mid,Tier 2,Silver,25.0,162.0,6.0,6.0,363.92,360.11,1767.19,1918.87
C100229,27.0,High,Tier 1,Gold,29.0,110.0,,3.0,628.97,347.08,1555.33,2035.82
C100230,42.0,Low,Tier 2,Platinum,18.0,32.0,5.0,10.0,432.61,176.88,4088.74,3446.1
C100231,63.0,Low,Tier 2,Silver,22.0,311.0,11.0,4.0,218.51,278.09,493.79,1637.14
C100232,19.0,Mid,Tier 2,Silver,17.0,47.0,5.0,2.0,354.74,205.38,506.43,651.59
C100233,58.0,Low,Tier 1,Gold,18.0,262.0,4.0,6.0,498.12,267.88,2957.27,1947.98
C100234,44.0,Low,Tier 3,Gold,15.0,272.0,3.0,6.0,168.92,215.62,713.97,711.24
C100235,56.0,Mid,Tier 2,Platinum,23.0,223.0,2.0,8.0,,242.07,5355.59,3575.86
C100236,53.0,Low,Tier 2,Silver,17.0,307.0,4.0,1.0,540.77,246.43,354.65,372.31
C100237,40.0,Mid,Tier 2,Platinum,14.0,41.0,6.0,6.0,519.8,175.54,2893.92,2860.99
C100238,34.0,Mid,Tier 1,Silver,15.0,5.0,4.0,2.0,514.37,165.73,733.87,1398.17
C100239,51.0,Mid,Tier 2,Gold,13.0,311.0,3.0,2.0,509.24,212.46,875.32,878.22
C100240,25.0,Low,Tier 2,Platinum,20.0,67.0,4.0,4.0,481.56,239.22,1738.47,1957.76
C100241,48.0,High,Tier 2,Silver,21.0,109.0,3.0,4.0,411.59,238.07,1321.41,1459.53
C100242,23.0,Low,Tier 3,Silver,15.0,252.0,4.0,1.0,160.61,244.62,0.0,519.69
C100243,52.0,Mid,Tier 3,Gold,16.0,195.0,5.0,6.0,355.52,259.24,1979.54,1843.08
C100244,51.0,Mid,Tier 3,Gold,17.0,73.0,3.0,7.0,359.7,272.36,2158.98,1821.66
C100245,22.0,Mid,Tier 2,Silver,21.0,85.0,3.0,4.0,251.62,285.65,748.27,1206.28
C100246,58.0,Low,Tier 2,Gold,19.0,306.0,5.0,2.0,265.12,180.5,329.52,1009.01
C100247,40.0,Low,Tier 2,Silver,19.0,190.0,7.0,2.0,343.03,248.89,494.06,971.32
C100248,59.0,,Tier 1,Silver,16.0,337.0,2.0,3.0,526.07,194.03,1408.69,896.48
C100249,20.0,Low,Tier 3,Silver,20.0,205.0,5.0,7.0,163.63,292.09,1007.55,1355.47
C100250,27.0,Low,Tier 3,Platinum,14.0,242.0,4.0,6.0,573.26,186.45,3329.11,2164.3
C100251,44.0,Mid,Tier 1,Silver,31.0,124.0,3.0,5.0,,361.49,837.85,1338.69
C100252,27.0,High,Tier 3,Gold,19.0,10.0,3.0,5.0,,266.26,1872.26,1765.93
C100253,35.0,Low,Tier 3,Silver,21.0,185.0,4.0,2.0,85.26,306.51,0.0,987.96
C100254,53.0,High,Tier 2,Platinum,29.0,267.0,9.0,7.0,611.46,293.09,3937.0,3742.02
C100255,25.0,Mid,Tier 3,Gold,23.0,148.0,5.0,4.0,485.04,352.79,1727.9,1892.26
C100256,53.0,High,Tier 1,Silver,22.0,314.0,4.0,4.0,504.89,288.49,1784.64,1567.67
